,sentences
0,"['metavers', 'utopia', 'dystopia.']"
1,"['with', 'loui', 'rosenberg']"
2,[]
3,"['speaker', 'nineti', 'five', 'peopl', 'believ', 'that', 'virtual', 'would', 'everywher', 'within', 'five', 'years.']"
4,"['speaker', 'where', 'those', 'believers?']"
5,['speaker']
6,"['over', 'last', 'twelv', 'eighteen', 'months,', 'largest', 'compani', 'world', 'have', 'have', 'realiz', 'thi']"
7,"['speaker', 'import', 'their', 'consum', 'business.']"
8,"['speaker', 'your', 'plan', 'near', 'futur', 'with', 'signific', 'part']"
9,"['speaker', 'start', 'foundat', 'what', 'call', 'augment', 'realiti']"
10,"['oper', 'with', 'field', 'artifici', 'intelligence.']"
11,"['speaker', 'have', 'access', 'person', 'histori', 'that', 'know', 'likes,', 'tendencies,', 'know', ""we'r"", 'most', 'like', 'persuad']"
12,"[""it'"", 'read', 'facial', 'expressions,', 'mayb', 'even', 'heart', 'rate,', 'blood', 'pressur']"
13,"['there', 'need', 'some', 'gore', 'rail', 'play', 'becaus', 'utopian', 'vision', 'could', 'distorted.']"
14,['speaker']
15,"['nick', 'rosa', 'from', 'accenture,']"
16,"['speaker', 'daniel', 'from']"
17,['thi']
18,"['speaker', 'louis,', 'pioneer', 'field', 'augment', 'virtual', 'realiti']"
19,"['tell', 'littl', 'more', 'about', 'your', 'career', 'your', 'beginnings.']"
20,"['speaker', 'involv', 'over', 'thirti', 'year', 'back', 'earli', 'begin']"
21,"['start', 'research', 'nasa', 'work', 'virtual', 'realiti', 'vision', 'systems,', 'first', 'work', 'model', 'inter', 'intra', 'ocular', 'distanc', 'distanc', 'between', 'your', 'eyes,', 'write', 'softwar', 'spend', 'time', 'use', 'variou', 'vision', 'systems,', 'immedi', 'captiv', 'potenti', 'virtual', 'world']"
22,"['felt', 'confid', 'that', 'gonna', 'chang', 'societi']"
23,"['veri', 'excit', 'from', 'start']"
24,"['same', 'time,', 'spend', 'lot', 'time', 'virtual', 'virtual', 'reality.']"
25,"['they', 'also', ""didn't"", 'like', 'be', 'from', 'real', 'world']"
26,"['felt', 'like', 'experi', 'amazing,', 'also', 'felt', 'like', 'isol', 'from', 'natur', 'experi']"
27,"['real', 'first', 'thing', 'felt', 'wish', 'could', 'take', 'power', 'just', 'splash', 'over', 'real', 'world,', 'thi', 'back', 'phrase', 'augment', 'realiti']"
28,"['pitch', 'force,', 'fortun', 'enough', 'that', 'they', 'fund', 'build', 'first', 'realli', 'function', 'augment', 'realiti', 'system']"
29,"['call', 'virtual', 'fixtur', 'platform.']"
30,"['crazi', 'system', 'requir', 'about', 'million', 'dollar', 'with', 'hardwar']"
31,"['vision', 'system', 'hang', 'from', 'ceil']"
32,"['exoskeleton', 'that', 'that', 'peopl', 'would', 'wear']"
33,"['might', 'have', 'seen', 'pictur']"
34,"['skeleton', 'would', 'track', 'your', 'hand', 'motion', 'feedback', 'feedback.']"
35,"['thi', 'fulli', 'function', 'system,', 'mean', 'first', 'time', 'peopl', 'could', 'reach', 'interact', 'with', 'realli', 'mix', 'realiti', 'real', 'world', 'virtual', 'world', 'togeth', 'where', 'could', 'have', 'virtual', 'object', 'bump', 'into', 'real', 'object', 'have', 'thi', 'true', 'augment', 'realiti', 'mix', 'realiti', 'experi']"
