,sentences
0,"['m', 'e', 't', 'a', 'v', 'e', 'r', 's', 'e', ' ', 'u', 't', 'o', 'p', 'i', 'a', ' ', 'd', 'y', 's', 't', 'o', 'p', 'i', 'a']"
1,"['l', 'o', 'u', 'i', 's', ' ', 'r', 'o', 's', 'e', 'n', 'b', 'e', 'r', 'g']"
3,"['n', 'i', 'n', 'e', 't', 'y', ' ', 'f', 'i', 'v', 'e', ' ', 'p', 'e', 'o', 'p', 'l', 'e', ' ', 'b', 'e', 'l', 'i', 'e', 'v', 'e', 'd', ' ', 'v', 'i', 'r', 't', 'u', 'a', 'l', ' ', 'w', 'o', 'u', 'l', 'd', ' ', 'e', 'v', 'e', 'r', 'y', 'w', 'h', 'e', 'r', 'e', ' ', 'w', 'i', 't', 'h', 'i', 'n', ' ', 'f', 'i', 'v', 'e', ' ', 'y', 'e', 'a', 'r', 's']"
4,"['b', 'e', 'l', 'i', 'e', 'v', 'e', 'r', 's']"
6,"['l', 'a', 's', 't', ' ', 't', 'w', 'e', 'l', 'v', 'e', ' ', 'e', 'i', 'g', 'h', 't', 'e', 'e', 'n', ' ', 'm', 'o', 'n', 't', 'h', 's', ' ', 'l', 'a', 'r', 'g', 'e', 's', 't', ' ', 'c', 'o', 'm', 'p', 'a', 'n', 'i', 'e', 's', ' ', 'w', 'o', 'r', 'l', 'd', ' ', 'r', 'e', 'a', 'l', 'i', 'z', 'e', 'd']"
7,"['i', 'm', 'p', 'o', 'r', 't', 'a', 'n', 't', ' ', 'c', 'o', 'n', 's', 'u', 'm', 'e', 'r', ' ', 'b', 'u', 's', 'i', 'n', 'e', 's', 's']"
8,"['p', 'l', 'a', 'n', 'n', 'i', 'n', 'g', ' ', 'n', 'e', 'a', 'r', ' ', 'f', 'u', 't', 'u', 'r', 'e', ' ', 's', 'i', 'g', 'n', 'i', 'f', 'i', 'c', 'a', 'n', 't', ' ', 'p', 'a', 'r', 't']"
9,"['s', 't', 'a', 'r', 't', 'e', 'd', ' ', 'f', 'o', 'u', 'n', 'd', 'a', 't', 'i', 'o', 'n', ' ', 'c', 'a', 'l', 'l', ' ', 'a', 'u', 'g', 'm', 'e', 'n', 't', 'e', 'd', ' ', 'r', 'e', 'a', 'l', 'i', 't', 'y']"
10,"['o', 'p', 'e', 'r', 'a', 't', 'i', 'n', 'g', ' ', 'f', 'i', 'e', 'l', 'd', ' ', 'a', 'r', 't', 'i', 'f', 'i', 'c', 'i', 'a', 'l', ' ', 'i', 'n', 't', 'e', 'l', 'l', 'i', 'g', 'e', 'n', 'c', 'e']"
11,"['a', 'c', 'c', 'e', 's', 's', ' ', 'p', 'e', 'r', 's', 'o', 'n', 'a', 'l', ' ', 'h', 'i', 's', 't', 'o', 'r', 'y', ' ', 'k', 'n', 'o', 'w', 's', ' ', 'l', 'i', 'k', 'e', 's', ' ', 't', 'e', 'n', 'd', 'e', 'n', 'c', 'i', 'e', 's', ' ', 'k', 'n', 'o', 'w', 's', ' ', 'l', 'i', 'k', 'e', 'l', 'y', ' ', 'p', 'e', 'r', 's', 'u', 'a', 'd', 'e', 'd']"
12,"['r', 'e', 'a', 'd', 'i', 'n', 'g', ' ', 'f', 'a', 'c', 'i', 'a', 'l', ' ', 'e', 'x', 'p', 'r', 'e', 's', 's', 'i', 'o', 'n', 's', ' ', 'm', 'a', 'y', 'b', 'e', ' ', 'e', 'v', 'e', 'n', ' ', 'h', 'e', 'a', 'r', 't', ' ', 'r', 'a', 't', 'e', ' ', 'b', 'l', 'o', 'o', 'd', ' ', 'p', 'r', 'e', 's', 's', 'u', 'r', 'e']"
13,"['n', 'e', 'e', 'd', 's', ' ', 'g', 'o', 'r', 'e', ' ', 'r', 'a', 'i', 'l', 's', ' ', 'p', 'l', 'a', 'y', 's', ' ', 'u', 't', 'o', 'p', 'i', 'a', 'n', ' ', 'v', 'i', 's', 'i', 'o', 'n', ' ', 'c', 'o', 'u', 'l', 'd', ' ', 'd', 'i', 's', 't', 'o', 'r', 't', 'e', 'd']"
15,"['n', 'i', 'c', 'k', ' ', 'r', 'o', 's', 'a', ' ', 'a', 'c', 'c', 'e', 'n', 't', 'u', 'r', 'e']"
16,"['d', 'a', 'n', 'i', 'e', 'l']"
18,"['l', 'o', 'u', 'i', 's', ' ', 'p', 'i', 'o', 'n', 'e', 'e', 'r', 's', ' ', 'f', 'i', 'e', 'l', 'd', ' ', 'a', 'u', 'g', 'm', 'e', 'n', 't', 'e', 'd', ' ', 'v', 'i', 'r', 't', 'u', 'a', 'l', ' ', 'r', 'e', 'a', 'l', 'i', 't', 'y']"
19,"['t', 'e', 'l', 'l', ' ', 'l', 'i', 't', 't', 'l', 'e', ' ', 'c', 'a', 'r', 'e', 'e', 'r', ' ', 'b', 'e', 'g', 'i', 'n', 'n', 'i', 'n', 'g', 's']"
20,"['i', 'n', 'v', 'o', 'l', 'v', 'e', 'd', ' ', 't', 'h', 'i', 'r', 't', 'y', ' ', 'y', 'e', 'a', 'r', 's', ' ', 'b', 'a', 'c', 'k', ' ', 'e', 'a', 'r', 'l', 'y', ' ', 'b', 'e', 'g', 'i', 'n', 'n', 'i', 'n', 'g']"
