,sentences
0,"['metavers', 'utopia', 'dystopia']"
1,"['loui', 'rosenberg']"
3,"['nineti', 'five', 'peopl', 'believ', 'virtual', 'would', 'everywher', 'within', 'five', 'year']"
4,['believ']
6,"['last', 'twelv', 'eighteen', 'month', 'largest', 'compani', 'world', 'realiz']"
7,"['import', 'consum', 'busi']"
8,"['plan', 'near', 'futur', 'signific', 'part']"
9,"['start', 'foundat', 'call', 'augment', 'realiti']"
10,"['oper', 'field', 'artifici', 'intellig']"
11,"['access', 'person', 'histori', 'know', 'like', 'tendenc', 'know', 'like', 'persuad']"
12,"['read', 'facial', 'express', 'mayb', 'even', 'heart', 'rate', 'blood', 'pressur']"
13,"['need', 'gore', 'rail', 'play', 'utopian', 'vision', 'could', 'distort']"
15,"['nick', 'rosa', 'accentur']"
16,['daniel']
18,"['loui', 'pioneer', 'field', 'augment', 'virtual', 'realiti']"
19,"['tell', 'littl', 'career', 'begin']"
20,"['involv', 'thirti', 'year', 'back', 'earli', 'begin']"
21,"['start', 'research', 'nasa', 'work', 'virtual', 'realiti', 'vision', 'system', 'first', 'work', 'model', 'inter', 'intra', 'ocular', 'distanc', 'distanc', 'eye', 'write', 'softwar', 'spend', 'time', 'use', 'variou', 'vision', 'system', 'immedi', 'captiv', 'potenti', 'virtual', 'world']"
22,"['felt', 'confid', 'gonna', 'chang', 'societi']"
23,"['excit', 'start']"
24,"['time', 'spend', 'lot', 'time', 'virtual', 'virtual', 'realiti']"
25,"['also', 'like', 'real', 'world']"
26,"['felt', 'like', 'experi', 'amaz', 'also', 'felt', 'like', 'isol', 'natur', 'experi']"
27,"['real', 'first', 'thing', 'felt', 'wish', 'could', 'take', 'power', 'splash', 'real', 'world', 'back', 'phrase', 'augment', 'realiti']"
28,"['pitch', 'forc', 'fortun', 'enough', 'fund', 'build', 'first', 'realli', 'function', 'augment', 'realiti', 'system']"
29,"['call', 'virtual', 'fixtur', 'platform']"
30,"['crazi', 'system', 'requir', 'million', 'dollar', 'hardwar']"
31,"['vision', 'system', 'hang', 'ceil']"
32,"['exoskeleton', 'peopl', 'would', 'wear']"
33,"['might', 'seen', 'pictur']"
34,"['skeleton', 'would', 'track', 'hand', 'motion', 'feedback', 'feedback']"
35,"['fulli', 'function', 'system', 'mean', 'first', 'time', 'peopl', 'could', 'reach', 'interact', 'realli', 'mix', 'realiti', 'real', 'world', 'virtual', 'world', 'togeth', 'could', 'virtual', 'object', 'bump', 'real', 'object', 'true', 'augment', 'realiti', 'mix', 'realiti', 'experi']"
36,"['great', 'realli', 'great', 'experi', 'realli', 'even', 'excit', 'field', 'realli', 'import', 'thing', 'career', 'experi', 'brought', 'kind', 'peopl', 'street', 'experi', 'run', 'research', 'studi', 'augment', 'realiti', 'could', 'enhanc', 'human', 'perform', 'peopl', 'would', 'come', 'exoskeleton']"
